Epoch,LR,CA,ASR,cls_pre
0,1e-05,0.98,1.0,"[0.11, 0.08, 0.1, 0.1, 0.1, 0.1, 0.1, 0.11, 0.09, 0.11]"
1,1e-05,0.99,1.0,"[0.1, 0.08, 0.1, 0.1, 0.11, 0.1, 0.1, 0.11, 0.09, 0.12]"
2,1e-05,0.98,1.0,"[0.11, 0.08, 0.1, 0.1, 0.1, 0.1, 0.1, 0.11, 0.09, 0.12]"
3,1e-05,0.97,1.0,"[0.1, 0.08, 0.1, 0.1, 0.11, 0.1, 0.1, 0.11, 0.09, 0.12]"
4,1e-05,0.98,1.0,"[0.1, 0.08, 0.1, 0.1, 0.11, 0.1, 0.09, 0.11, 0.09, 0.12]"
5,1e-05,0.97,1.0,"[0.1, 0.08, 0.1, 0.09, 0.11, 0.11, 0.1, 0.11, 0.09, 0.12]"
6,1e-05,0.96,1.0,"[0.11, 0.08, 0.1, 0.08, 0.11, 0.11, 0.1, 0.11, 0.09, 0.12]"
7,1e-05,0.94,1.0,"[0.11, 0.08, 0.11, 0.07, 0.11, 0.11, 0.1, 0.11, 0.09, 0.12]"
8,1e-05,0.94,1.0,"[0.11, 0.07, 0.11, 0.07, 0.11, 0.11, 0.1, 0.11, 0.09, 0.12]"
9,1e-05,0.92,1.0,"[0.1, 0.08, 0.11, 0.05, 0.11, 0.12, 0.11, 0.11, 0.09, 0.12]"
10,1e-05,0.91,1.0,"[0.11, 0.07, 0.11, 0.05, 0.12, 0.12, 0.1, 0.1, 0.09, 0.12]"
11,1e-05,0.88,1.0,"[0.12, 0.07, 0.12, 0.04, 0.11, 0.12, 0.11, 0.1, 0.09, 0.11]"
12,1e-05,0.86,1.0,"[0.14, 0.07, 0.12, 0.02, 0.11, 0.12, 0.11, 0.1, 0.09, 0.11]"
13,1e-05,0.82,1.0,"[0.18, 0.07, 0.12, 0.02, 0.11, 0.11, 0.1, 0.1, 0.08, 0.11]"
14,1e-05,0.71,1.0,"[0.29, 0.05, 0.1, 0.02, 0.1, 0.1, 0.1, 0.08, 0.08, 0.08]"
15,1e-05,0.54,1.0,"[0.49, 0.03, 0.1, 0.01, 0.07, 0.07, 0.07, 0.06, 0.05, 0.06]"
16,1e-05,0.31,1.0,"[0.73, 0.01, 0.06, 0.0, 0.04, 0.04, 0.04, 0.03, 0.03, 0.01]"
17,1e-05,0.17,1.0,"[0.9, 0.0, 0.04, 0.0, 0.01, 0.01, 0.02, 0.01, 0.01, 0.0]"
18,1e-05,0.12,1.0,"[0.98, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,1e-05,0.11,1.0,"[0.99, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,1.0000000000000002e-07,0.11,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
